thesis,target,top_k,bottom_k,market_neutral,rebalance_every,sizing_mode,paper_sharpe,paper_ann,paper_dd,retail_sharpe,retail_ann,retail_dd,retail_calmar,n_orders,end_equity,elapsed_s
A019_xs2_k15_long_reb1,y_xsec_top_2,15,0,False,1,equal,0.40347352821857696,0.09088756979331011,-0.2815446290389535,-0.9029045732863087,-0.20357172714677943,-0.4146498052390397,-0.4909485656924962,21297,67254.2467054896,5.241243458003737
B058_xs8_mn5_reb8,y_xsec_top_8,5,5,True,8,equal,-0.47919785910981305,-0.07935625840960131,-0.20019355589843146,-0.969048277671962,-0.16104732860046844,-0.27790298652046885,-0.579509168350037,4579,73859.51645399988,4.280080875032581
A018_xs2_k10_long_reb4,y_xsec_top_2,10,0,False,4,equal,-0.38166143192718854,-0.09062955954496146,-0.3727513369702975,-1.0596659049505914,-0.25214282936161836,-0.4953060475918607,-0.509064709763826,8083,61521.73450507822,4.566967082966585
A015_xs2_k5_long_reb4,y_xsec_top_2,5,0,False,4,equal,-0.5496049281397374,-0.1139589174899066,-0.34450569638461837,-1.228778652843177,-0.2552376576210067,-0.4743003038542055,-0.5381351341058045,4564,61928.10483341613,4.709382415981963
A017_xs2_k10_long_reb2,y_xsec_top_2,10,0,False,2,equal,-0.18416777786913172,-0.043376273700217634,-0.31254647544536374,-1.2388133365762435,-0.2929709967901089,-0.5188510956622914,-0.5646533258567064,12210,57369.84642193636,5.068276875012089
A010_xs1_k20_long_reb1,y_xsec_top_1,20,0,False,1,equal,0.12530870802410454,0.026042454100100962,-0.3571909607800574,-1.252942036124436,-0.26085748693034994,-0.44334931237085207,-0.5883791395443697,26791,61312.500643403844,5.565578041016124
A011_xs1_k20_long_reb1,y_xsec_top_1,20,0,False,1,equal,0.12530870802410454,0.026042454100100962,-0.3571909607800574,-1.252942036124436,-0.26085748693034994,-0.44334931237085207,-0.5883791395443697,26791,61312.500643403844,5.517861082975287
A006_xs1_k10_long_reb2,y_xsec_top_1,10,0,False,2,equal,0.01922043419652327,0.004313451796809485,-0.3754259239217742,-1.287217147830208,-0.2903319231332481,-0.45998946089632464,-0.6311708154519762,13902,57892.24195202973,4.988105165946763
A016_xs2_k10_long_reb1,y_xsec_top_2,10,0,False,1,equal,0.14465723014532297,0.03516351152285912,-0.3206238006730673,-1.3093997939888917,-0.31878313444729434,-0.5422017642205381,-0.5879418981706425,17032,54706.76462120044,5.350599832949229
A014_xs2_k5_long_reb2,y_xsec_top_2,5,0,False,2,equal,-0.24077256728097135,-0.0485137403226065,-0.23870089190233268,-1.3449605450849509,-0.2721306856909455,-0.46072192722182814,-0.590661458923617,7154,60266.15490530574,4.941822790948208
A003_xs1_k5_long_reb2,y_xsec_top_1,5,0,False,2,equal,-0.015155457865089013,-0.00292167881523846,-0.303824615694408,-1.3629642513751632,-0.2641275170649899,-0.39572164865812787,-0.6674578405316791,8041,61290.11856172746,4.863502082997002
A013_xs2_k5_long_reb1,y_xsec_top_2,5,0,False,1,equal,-0.044204743045361886,-0.009141531462629048,-0.24755543550119552,-1.5647114669387718,-0.3240689249518515,-0.5175703132618584,-0.6261350712128128,10023,54998.07698539334,5.393860209034756
B055_xs4_mn5_reb4,y_xsec_top_4,5,5,True,4,equal,-0.7130654002989466,-0.11249378491007411,-0.42488655702153544,-1.671959272759532,-0.2649610760926932,-0.5042369871412181,-0.5254693385245208,8106,61848.19400503938,4.439455832995009
A007_xs1_k15_long_reb1,y_xsec_top_1,15,0,False,1,equal,-0.1266030016667855,-0.02724255010474808,-0.4045461685512656,-1.7731830867461447,-0.3826305760723737,-0.5315275401087198,-0.7198697098444036,24527,49536.4363244771,5.335835749981925
A008_xs1_k15_long_reb1,y_xsec_top_1,15,0,False,1,equal,-0.1266030016667855,-0.02724255010474808,-0.4045461685512656,-1.7731830867461447,-0.3826305760723737,-0.5315275401087198,-0.7198697098444036,24527,49536.4363244771,5.499189333990216
B056_xs4_mn10_reb4,y_xsec_top_4,10,10,True,4,equal,-0.9373338943890577,-0.10370948892225078,-0.33666607841722807,-2.027917492709644,-0.22574067341584458,-0.44899657123459924,-0.5027670318174786,12407,66921.27026215286,4.477188500051852
A002_xs1_k5_long_reb1,y_xsec_top_1,5,0,False,1,equal,-0.12241310889268245,-0.024106471078209287,-0.3942205287861803,-2.0453728718446134,-0.4049118068523454,-0.5325563435053555,-0.7603173106288865,11528,47983.55491867022,5.368372624972835
A001_xs1_k5_long_reb1,y_xsec_top_1,5,0,False,1,equal,-0.12241310889268245,-0.024106471078209287,-0.3942205287861803,-2.0453728718446134,-0.4049118068523454,-0.5325563435053555,-0.7603173106288865,11528,47983.55491867022,5.4079012089641765
A004_xs1_k10_long_reb1,y_xsec_top_1,10,0,False,1,equal,-0.22410183675023576,-0.051774954372784336,-0.4417044329157329,-2.0729623947761096,-0.4809892200220303,-0.5962696416874329,-0.806663942609654,19624,41529.74606330254,5.294505833007861
A005_xs1_k10_long_reb1,y_xsec_top_1,10,0,False,1,equal,-0.22410183675023576,-0.051774954372784336,-0.4417044329157329,-2.0729623947761096,-0.4809892200220303,-0.5962696416874329,-0.806663942609654,19624,41529.74606330254,5.573489958012942
B057_xs4_mn15_reb4,y_xsec_top_4,15,15,True,4,equal,-1.17771776405924,-0.11167854272257735,-0.2995274308110809,-2.1964290331167544,-0.20925334075371707,-0.39698210141689283,-0.5271102651904414,13477,69070.94696089014,4.453413166978862
B052_xs2_mn5_reb2,y_xsec_top_2,5,5,True,2,equal,-2.1416025107101757,-0.3278609845556372,-0.4527392147204474,-4.059815564290077,-0.6270820779893869,-0.6704402173977655,-0.9353288506816191,13957,33105.23682132254,4.708744459028821
B053_xs2_mn10_reb2,y_xsec_top_2,10,10,True,2,equal,-2.7998254746139697,-0.31487503721011484,-0.4338034535809068,-4.975982349486505,-0.5658870375243649,-0.6311997385729308,-0.8965260961669117,21485,37150.107883706216,4.822250415978488
B054_xs2_mn15_reb2,y_xsec_top_2,15,15,True,2,equal,-2.8952330648861557,-0.2581490563609466,-0.37445858621557215,-5.189666635331648,-0.46837992998721745,-0.5627723559975505,-0.8322724543869673,23555,44165.134285379565,4.827506459027063
B049_xs1_mn5_reb1,y_xsec_top_1,5,5,True,1,equal,-3.4933037620343956,-0.5184085280544717,-0.6118869237266943,-6.812686058759953,-1.0237578426981278,-0.8359186927531937,-1.2247098331133908,21727,16691.24047374296,5.001365874952171
B051_xs1_mn15_reb1,y_xsec_top_1,15,15,True,1,equal,-3.8803692277585067,-0.34243951268538986,-0.459960610489341,-7.755407246537747,-0.6957774118901123,-0.7040357713727979,-0.9882699717564313,36052,29809.94812164514,5.143975834012963
B050_xs1_mn10_reb1,y_xsec_top_1,10,10,True,1,equal,-4.0304371417954545,-0.4434657238695303,-0.549936499635153,-7.769031937900292,-0.8686167527076583,-0.781840525054374,-1.1109896773990442,33570,22019.177502045895,5.188239666982554
